book_id,genre
216,Ficción
324,Ficción
324,Juvenil
499,Ficción
499,Terror
566,Ficción
566,Romántica
1003,Ciencia ficción
1047,Infantil
1208,Terror
1411,Ficción
1411,Clásicos
1522,Ficción histórica
1658,Romántica
1685,Ficción
1685,Thriller
1931,Fantasía
2105,Fantasía
2160,Fantasía
2251,Thriller
2606,Fantasía
2901,Fantasía
2901,Romántica
3057,Ciencia ficción
3057,Juvenil
3263,Romántica
3263,Juvenil
3397,Ciencia ficción
3449,Thriller
3462,Fantasía
3529,Ciencia ficción
3620,Thriller
3666,Romántica
3702,Fantasía
3790,Ficción histórica
3790,Juvenil
3899,Fantasía
3945,Thriller
3971,Ficción histórica
3993,Ficción
3993,Romántica
4098,Ficción
4450,Romántica
4540,Terror
4540,Ciencia ficción
4606,Memorias
4652,Romántica
4674,Ciencia ficción
4697,Ficción
4829,Thriller
4918,Romántica
4963,Thriller
5009,Clásicos
5009,Ficción
5031,Ficción
5141,Ciencia ficción
5187,Ficción
5230,Ciencia ficción
5472,Ficción
5563,Ciencia ficción
5969,Thriller
6111,Fantasía
6111,Juvenil
6152,Ciencia ficción
6194,Ficción
6221,Fantasía
6221,Romántica
6221,Juvenil
6283,Ficción
6394,Thriller
6436,Ficción
6458,Ficción
6458,Romántica
6596,Fantasía
6614,Fantasía
6679,Ciencia ficción
6679,Juvenil
6771,Fantasía
6771,Juvenil
6794,Aventura
6794,Juvenil
6837,Ficción
7038,Ciencia ficción
7092,Terror
7126,Thriller
7333,Clásicos
7333,Ficción
7354,Terror
7382,Ficción
7400,Juvenil
7400,Ficción
7532,Romántica
7600,Fantasía
7691,Fantasía
7726,Ficción histórica
7782,Romántica
7805,Aventura
7805,Juvenil
7897,Fantasía
7897,Juvenil
8110,Romántica
8273,Ficción
8525,Ficción
8546,Fantasía
8546,Juvenil
8683,Terror
8859,Religión y espiritualidad
8859,Ensayo
9037,Cómic y novela gráfica
9037,Ciencia ficción
9128,Fantasía
9128,Romántica
9304,Clásicos
9304,Ensayo
9557,Infantil
9578,Cómic y novela gráfica
9578,Fantasía
9693,Romántica
9889,Romántica
9980,Romántica
9980,Ficción histórica
1,Ciencia ficción
1,Juvenil
2,Fantasía
2,Juvenil
3,Fantasía
3,Romántica
3,Juvenil
4,Clásicos
4,Ficción
5,Clásicos
5,Ficción
6,Juvenil
6,Ficción
7,Clásicos
7,Fantasía
8,Clásicos
8,Ficción
9,Thriller
10,Clásicos
10,Romántica
11,Ficción
11,Ficción histórica
12,Ciencia ficción
12,Juvenil
13,Clásicos
13,Ciencia ficción
14,Clásicos
14,Ficción
15,Memorias
15,Historia
16,Thriller
16,Misterio
17,Ciencia ficción
17,Juvenil
18,Fantasía
18,Juvenil
19,Clásicos
19,Fantasía
20,Ciencia ficción
20,Juvenil
21,Fantasía
21,Juvenil
22,Ficción
23,Fantasía
23,Juvenil
24,Fantasía
24,Juvenil
25,Fantasía
25,Juvenil
26,Thriller
26,Misterio
27,Fantasía
27,Juvenil
28,Clásicos
28,Ficción
29,Clásicos
30,Thriller
30,Misterio
31,Ficción histórica
32,Clásicos
32,Ficción
33,Ficción histórica
34,Romántica
35,Ficción
36,Ciencia ficción
36,Juvenil
37,Clásicos
37,Fantasía
37,Infantil
38,Ficción
38,Romántica
39,Fantasía
40,Memorias
40,Viajes
41,Fantasía
41,Juvenil
42,Clásicos
42,Ficción
43,Clásicos
43,Romántica
44,Romántica
45,Ficción
45,Aventura
46,Ficción histórica
47,Ficción histórica
47,Juvenil
48,Clásicos
48,Ciencia ficción
49,Fantasía
49,Romántica
49,Juvenil
50,Poesía
50,Infantil
51,Fantasía
51,Juvenil
52,Fantasía
52,Romántica
52,Juvenil
53,Fantasía
53,Juvenil
54,Ciencia ficción
55,Clásicos
55,Ciencia ficción
56,Fantasía
56,Romántica
56,Juvenil
57,Ficción histórica
58,Clásicos
58,Aventura
59,Clásicos
59,Infantil
60,Ficción
60,Misterio
61,Thriller
61,Misterio
62,Fantasía
62,Juvenil
63,Clásicos
63,Romántica
64,Ficción
65,Clásicos
65,Ciencia ficción
66,Clásicos
66,Ficción histórica
67,Ficción histórica
68,Ficción
68,Juvenil
69,Ciencia ficción
69,Juvenil
70,Ciencia ficción
70,Juvenil
71,Clásicos
71,Terror
72,Terror
73,Ciencia ficción
73,Romántica
74,Ficción
74,Juvenil
75,Ficción
75,Romántica
76,Clásicos
76,Romántica
77,Aventura
77,Juvenil
78,Ficción
79,Clásicos
79,Aventura
80,Infantil
80,Fantasía
81,Memorias
82,No ficción
82,Biografía
83,Clásicos
83,Ficción histórica
84,Ciencia ficción
84,Thriller
85,Infantil
86,Thriller
87,Memorias
87,Historia
88,Ficción
88,Juvenil
89,Fantasía
89,Aventura
90,Ficción
90,Juvenil
91,Ciencia ficción
91,Juvenil
92,No ficción
92,Ensayo
93,Clásicos
93,Infantil
94,Clásicos
94,Ficción
95,Clásicos
95,Ficción
96,Romántica
97,Clásicos
97,Terror
98,Thriller
98,Misterio
99,Romántica
100,Ficción histórica
101,Memorias
101,Ensayo
102,Infantil
103,Clásicos
103,Aventura
104,Ficción
105,Ciencia ficción
105,Juvenil
106,Memorias
107,Romántica
108,Ficción
108,Romántica
109,Clásicos
109,Ficción histórica
110,Fantasía
111,Ficción
112,Romántica
112,Ficción
113,Clásicos
113,Ficción
114,Memorias
114,No ficción
115,Ficción
116,Clásicos
116,Aventura
117,Ciencia ficción
117,Juvenil
118,Ficción
119,Ciencia ficción
119,Ficción
120,Juvenil
120,Ficción
121,Clásicos
