book_id,isbn,title,original_title,original_publication_year,language_code,genre
216,1554681723,The Art of Racing in the Rain,The Art of Racing in the Rain,2006.0,eng,Ficción
324,,Fangirl,,2013.0,eng,Juvenil
499,0679735771,American Psycho,American Psycho,1991.0,eng,Ficción
566,,"After You (Me Before You, #2)",After You,2015.0,eng,Romántica
1003,2266079999,Contact,Contact,1985.0,eng,Ciencia ficción
1047,0061992259,The One and Only Ivan,The One and Only Ivan,2012.0,eng,Infantil
1208,0450542882,Four Past Midnight ,Four Past Midnight,1990.0,eng,Terror
1411,006083756X,Native Son,Native Son ,1940.0,eng,Clásicos
1522,1439138311,Brooklyn,Brooklyn,2009.0,eng,Ficción histórica
1658,,"Tangled (Tangled, #1)",Tangled,2013.0,eng,Romántica
1685,0743418719,Salem Falls,Salem Falls,2001.0,eng,Ficción
1931,0345335708,"Castle of Wizardry (The Belgariad, #4)",Castle of Wizardry,1984.0,eng,Fantasía
2105,0441014895,"Magic Bites (Kate Daniels, #1)",Magic Bites,2007.0,eng,Fantasía
2160,031607991X,"The Blinding Knife (Lightbringer, #2)",The Blinding Knife,2012.0,eng,Fantasía
2251,0312595670,Still Missing,Still Missing,2010.0,eng,Thriller
2606,0345503821,"The Daylight War (Demon Cycle, #3)",The Daylight War,2013.0,eng,Fantasía
2901,042519485X,"Undead and Unwed (Undead, #1)",Undead and Unwed,2004.0,eng,Fantasía
3057,0062208195,"Destroy Me (Shatter Me, #1.5)",Destroy Me,2012.0,eng,Juvenil
3263,0802720870,"Chain Reaction (Perfect Chemistry, #3)",Chain Reaction,2011.0,eng,Juvenil
3397,0140013083,The Chrysalids,The Chrysalids,1955.0,eng,Ciencia ficción
3449,0671023187,Term Limits,Term Limits,1997.0,eng,Thriller
3462,038561926X,"Snuff (Discworld, #39; City Watch #8)",Snuff,2011.0,eng,Fantasía
3529,0449016196,The End of Eternity,The End of Eternity,1955.0,eng,Ciencia ficción
3620,1568650949,Bloodline,Bloodline,1977.0,,Thriller
3666,,"Just for Now (Sea Breeze, #4)",Just for Now,2012.0,eng,Romántica
3702,0778325342,"Fire Study (Study, #3)",Fire Study,2008.0,eng,Fantasía
3790,006440630X,The Midwife's Apprentice,The Midwife's Apprentice,1995.0,eng,Infantil
3899,034525855X,A Spell for Chameleon (Xanth #1),A Spell for Chameleon,1977.0,,Fantasía
3945,0446604844,Total Control,Total Control,1996.0,eng,Thriller
3971,0440132940,Evergreen,Evergreen,1978.0,eng,Ficción
3993,034554692X,First Comes Love,,2016.0,eng,Romántica
4098,,The Next Best Thing,The Next Best Thing,2012.0,,Ficción
4450,,"If You Stay (Beautifully Broken, #1)",If You Stay,2013.0,eng,Romántica
4540,,14,14,2012.0,eng,Terror
4606,849759388X,Paula,Paula,1994.0,spa,Memorias
4652,,"Devoured (Devoured, #1)",Devoured,2012.0,eng,Romántica
4674,1476727910,The Humans,The Humans,2013.0,eng,Ciencia ficción
4697,1451664125,In One Person,In One Person,2012.0,,Ficción
4829,,The One That Got Away,The One That Got Away,2015.0,eng,Thriller
4918,,"The Score (Off-Campus, #3)",The Score,2016.0,eng,Romántica
4963,0552150215,The Analyst,The Analyst,2002.0,eng,Thriller
5009,1933480092,Oblomov,Обломов,1859.0,eng,Clásicos
5031,1594204993,Redeployment,Redeployment,2014.0,eng,Ficción
5141,0345414004,Friday,Friday,1982.0,eng,Ciencia ficción
5187,0679753338,Nobody's Fool,Nobody's Fool,1993.0,eng,Ficción
5230,0062331159,The Bees,The Bees,2014.0,eng,Ficción
5472,1439187312,"The Walk (The Walk, #1)",The Walk,2010.0,eng,Ficción
5563,0345487133,Earth Abides,Earth Abides,1949.0,eng,Ciencia ficción
5969,0743454162,Turning Angel,Turning Angel,2005.0,eng,Thriller
6111,,"Defiance (Significance, #3)",Defiance,2011.0,eng,Juvenil
6152,0765328542,Fuzzy Nation,Fuzzy Nation,2011.0,eng,Ciencia ficción
6194,0374280967,The Uncommon Reader,The Uncommon Reader ,2007.0,eng,Ficción
6221,,"A Castle of Sand (A Shade of Vampire, #3)",,2013.0,eng,Fantasía
6283,0099468387,The Cement Garden,The Cement Garden,1978.0,eng,Ficción
6394,0316231053,The Fever,The Fever,2014.0,,Thriller
6436,1409113965,Minding Frankie,Minding Frankie,2010.0,eng,Ficción
6458,0345516109,Juliet,Juliet,2010.0,eng,Ficción histórica
6596,,"Murder of Crows (The Others, #2)",Murder of Crows,2014.0,eng,Fantasía
6614,0425268780,"Prince of Fools (The Red Queen''s War, #1)",Prince of Fools,2014.0,eng,Fantasía
6679,1455503061,"Pure (Pure, #1)",Pure,2012.0,eng,Ciencia ficción
6771,,"Fairest (An Unfortunate Fairy Tale, #2)",,2012.0,eng,Juvenil
6794,0340881542,"Class A (Cherub, #2)",Class A (Cherub #2),2004.0,eng,Juvenil
6837,0374281092,Someone,Someone,2013.0,eng,Ficción
7038,0886773687,Armor,Armor,1984.0,eng,Ciencia ficción
7092,0743417321,Cabal,Cabal,1988.0,eng,Terror
7126,0752815393,"Guilty as Sin  (Deer Lake, #2)",Guilty as Sin (Deer Lake #2),1996.0,eng,Thriller
7333,0141185465,All My Sons,All My Sons,1947.0,eng,Clásicos
7354,0425127583,The Mask,The Mask,1981.0,eng,Terror
7382,0393081508,Heft,Heft,2012.0,,Ficción
7400,0545169178,The List,The List,2012.0,eng,Juvenil
7532,1476766665,"Rusty Nailed (Cocktail, #2)",,2014.0,eng,Romántica
7600,0345495969,"Divine Misdemeanors (Merry Gentry, #8)",Divine Misdemeanors ,2009.0,eng,Fantasía
7691,,"Timeless (Parasol Protectorate, #5)",Timeless,2012.0,eng,Fantasía
7726,,The House by the Lake,,2016.0,eng,Ficción histórica
7782,,Under Locke,Under Locke,2014.0,eng,Romántica
7805,0439829127,"A Killing Frost (Tomorrow, #3)","The Third Day, The Frost",1995.0,,Juvenil
7897,0062060759,"Incarnate (Newsoul, #1)",Incarnate,2012.0,eng,Fantasía
8110,,"Rock Chick Regret (Rock Chick, #7)",,2011.0,eng,Romántica
8273,1451655789,The Orchid House,Hothouse Flower,2010.0,eng,Ficción histórica
8525,0307270742,Commencement ,Commencement,2009.0,eng,Ficción
8546,0061131644,"Firestar''s Quest (Warriors Super Edition, #1)",Firestar's Quest,2007.0,eng,Juvenil
8683,0307394999,The Night Strangers,,2011.0,eng,Terror
8859,0060653205,The Weight of Glory,The Weight of Glory,1949.0,eng,Religión y espiritualidad
9037,1401219217,Y: The Last Man - The Deluxe Edition Book One,Y: The Last Man - The Deluxe Edition Book One,2008.0,eng,Cómic y novela gráfica
9128,0312546602,"Retribution (Dark-Hunter, #19)",Retribution,2011.0,eng,Fantasía
9304,0140446362,Poetics,Περὶ ποιητικῆς,-335.0,eng,Clásicos
9557,0694004928,The Carrot Seed,The Carrot Seed,1945.0,,Infantil
9578,1593070209,"Berserk, Vol. 1 (Berserk, #1)",ベルセルク 1,1990.0,eng,Cómic y novela gráfica
9693,,"Forever You (Forever, #2)",,2013.0,eng,Romántica
9889,,"Overruled (The Legal Briefs, #1)",Overruled,2015.0,eng,Romántica
9980,0764200739,The Measure of a Lady,The Measure of a Lady,2006.0,eng,Ficción histórica
1,0439023483,"The Hunger Games (The Hunger Games, #1)",The Hunger Games,2008.0,eng,Juvenil
2,0439554934,"Harry Potter and the Sorcerer''s Stone (Harry Potter, #1)",Harry Potter and the Philosopher's Stone,1997.0,eng,Juvenil
3,0316015849,"Twilight (Twilight, #1)",Twilight,2005.0,eng,Juvenil
4,0061120081,To Kill a Mockingbird,To Kill a Mockingbird,1960.0,eng,Clásicos
5,0743273567,The Great Gatsby,The Great Gatsby,1925.0,eng,Clásicos
6,0525478817,The Fault in Our Stars,The Fault in Our Stars,2012.0,eng,Juvenil
7,0618260307,The Hobbit,The Hobbit or There and Back Again,1937.0,eng,Fantasía
8,0316769177,The Catcher in the Rye,The Catcher in the Rye,1951.0,eng,Clásicos
9,1416524797,"Angels & Demons  (Robert Langdon, #1)",Angels & Demons ,2000.0,eng,Thriller
10,0679783261,Pride and Prejudice,Pride and Prejudice,1813.0,eng,Clásicos
11,1594480001,The Kite Runner,The Kite Runner ,2003.0,eng,Ficción
12,0062024035,"Divergent (Divergent, #1)",Divergent,2011.0,eng,Juvenil
13,0451524934,1984,Nineteen Eighty-Four,1949.0,eng,Clásicos
14,0452284244,Animal Farm,Animal Farm: A Fairy Story,1945.0,eng,Clásicos
15,0553296981,The Diary of a Young Girl,Het Achterhuis: Dagboekbrieven 14 juni 1942 - 1 augustus 1944,1947.0,eng,Memorias
16,0307269752,"The Girl with the Dragon Tattoo (Millennium, #1)",Män som hatar kvinnor,2005.0,eng,Thriller
17,0439023491,"Catching Fire (The Hunger Games, #2)",Catching Fire,2009.0,eng,Juvenil
18,043965548X,"Harry Potter and the Prisoner of Azkaban (Harry Potter, #3)",Harry Potter and the Prisoner of Azkaban,1999.0,eng,Fantasía
19,0618346252,"The Fellowship of the Ring (The Lord of the Rings, #1)", The Fellowship of the Ring,1954.0,eng,Clásicos
20,0439023513,"Mockingjay (The Hunger Games, #3)",Mockingjay,2010.0,eng,Juvenil
