book_id,author
216,Garth Stein
324,Rainbow Rowell
499,Bret Easton Ellis
566,Jojo Moyes
1003,Carl Sagan
1047,Katherine Applegate
1047,Patricia Castelao
1208,Stephen King
1411,Richard Wright
1522,Colm Tóibín
1658,Emma Chase
1685,Jodi Picoult
1931,David Eddings
2105,Ilona Andrews
2160,Brent Weeks
2251,Chevy Stevens
2606,Peter V. Brett
2901,MaryJanice Davidson
3057,Tahereh Mafi
3263,Simone Elkeles
3397,John Wyndham
3449,Vince Flynn
3462,Terry Pratchett
3529,Isaac Asimov
3620,Sidney Sheldon
3666,Abbi Glines
3702,Maria V. Snyder
3790,Karen Cushman
3899,Piers Anthony
3945,David Baldacci
3971,Belva Plain
3993,Emily Giffin
4098,Jennifer Weiner
4450,Courtney Cole
4540,Peter Clines
4606,Isabel Allende
4652,Emily Snow
4674,Matt Haig
4697,John Irving
4829,Simon Wood
4918,Elle Kennedy
4963,John Katzenbach
5009,Ivan Goncharov
5009,Stephen Pearl
5009,Galya Diment
5031,Phil Klay
5141,Robert A. Heinlein
5187,Richard Russo
5230,Laline Paull
5472,Richard Paul Evans
5563,George R. Stewart
5969,Greg Iles
6111,Shelly Crane
6152,John Scalzi
6194,Alan Bennett
6221,Bella Forrest
6283,Ian McEwan
6394,Megan Abbott
6436,Maeve Binchy
6458,Anne Fortier
6596,Anne Bishop
6614,Mark  Lawrence
6679,Julianna Baggott
6771,Chanda Hahn
6794,Robert Muchamore
6837,Alice McDermott
7038,John Steakley
7092,Clive Barker
7126,Tami Hoag
7333,Arthur Miller
7333,Christopher Bigsby
7354,Owen  West
7354,Dean Koontz
7382,Liz Moore
7400,Siobhan Vivian
7532,Alice Clayton
7600,Laurell K. Hamilton
7691,Gail Carriger
7726,Ella Carey
7782,Mariana Zapata
7805,John Marsden
7897,Jodi Meadows
8110,Kristen Ashley
8273,Lucinda Riley
8525,J. Courtney Sullivan
8546,Erin Hunter
8683,Chris Bohjalian
8859,C.S. Lewis
9037,Brian K. Vaughan
9037,Pia Guerra
9037,José Marzán Jr.
9037,Pamela Rambo
9037,Clem Robins
9037,J.G. Jones
9128,Sherrilyn Kenyon
9304,Aristotle
9304,Malcolm Heath
9557,Ruth Krauss
9557,Crockett Johnson
9578,Kentaro Miura
9578,Jason DeAngelis
9693,Sandi Lynn
9889,Emma Chase
9980,Deeanne Gist
1,Suzanne Collins
2,J.K. Rowling
2,Mary GrandPré
3,Stephenie Meyer
4,Harper Lee
5,F. Scott Fitzgerald
6,John Green
7,J.R.R. Tolkien
8,J.D. Salinger
9,Dan Brown
10,Jane Austen
11,Khaled Hosseini
12,Veronica Roth
13,George Orwell
13,Erich Fromm
13,Celâl Üster
14,George Orwell
15,Anne Frank
15,Eleanor Roosevelt
15,B.M. Mooyaart-Doubleday
16,Stieg Larsson
16,Reg Keeland
17,Suzanne Collins
18,J.K. Rowling
18,Mary GrandPré
18,Rufus Beck
19,J.R.R. Tolkien
20,Suzanne Collins
21,J.K. Rowling
21,Mary GrandPré
22,Alice Sebold
23,J.K. Rowling
23,Mary GrandPré
24,J.K. Rowling
24,Mary GrandPré
25,J.K. Rowling
25,Mary GrandPré
26,Dan Brown
27,J.K. Rowling
27,Mary GrandPré
28,William Golding
29,William Shakespeare
29,Robert           Jackson
30,Gillian Flynn
31,Kathryn Stockett
32,John Steinbeck
33,Arthur Golden
34,E.L. James
35,Paulo Coelho
35,Alan R. Clarke
36,Lois Lowry
37,C.S. Lewis
38,Audrey Niffenegger
39,George R.R. Martin
40,Elizabeth Gilbert
41,Rick Riordan
42,Louisa May Alcott
43,Charlotte Brontë
43,Michael Mason
44,Nicholas Sparks
45,Yann Martel
46,Sara Gruen
47,Markus Zusak
48,Ray Bradbury
49,Stephenie Meyer
50,Shel Silverstein
51,Cassandra Clare
52,Stephenie Meyer
53,Christopher Paolini
54,Douglas Adams
55,Aldous Huxley
56,Stephenie Meyer
57,Sue Monk Kidd
58,Mark Twain
58,John Seelye
58,Guy Cardwell
59,E.B. White
59,Garth Williams
59,Rosemary Wells
60,Mark Haddon
61,Paula Hawkins
62,Philip Pullman
63,Emily Brontë
63,Richard J. Dunn
64,Jodi Picoult
65,Kurt Vonnegut Jr.
66,Margaret Mitchell
67,Khaled Hosseini
68,Stephen Chbosky
69,Veronica Roth
70,Orson Scott Card
71,Mary Wollstonecraft Shelley
71,Percy Bysshe Shelley
71,Maurice Hindle
72,Stephen King
73,Stephenie Meyer
74,John Green
75,Helen Fielding
76,Jane Austen
76,Tony Tanner
76,Ros Ballaster
77,Louis Sachar
78,Lauren Weisberger
79,Homer
79,Robert Fagles
79,E.V. Rieu
79,Frédéric Mugler
79,Bernard Knox
80,Antoine de Saint-Exupéry
80,Richard Howard
80,Dom Marcos Barbosa
80,Melina Karakosta
81,Jeannette Walls
82,Jon Krakauer
83,Charles Dickens
83,Richard Maxwell
83,Hablot Knight Browne
84,Michael Crichton
85,Shel Silverstein
86,John Grisham
87,Elie Wiesel
87,Marion Wiesel
88,John Green
89,William Goldman
90,S.E. Hinton
91,James Dashner
92,Steven D. Levitt
92,Stephen J. Dubner
93,Frances Hodgson Burnett
94,Gabriel García Márquez
94,Gregory Rabassa
95,Oscar Wilde
95,Jeffrey Eugenides
96,E.L. James
97,Bram Stoker
97,Nina Auerbach
97,David J. Skal
98,Stieg Larsson
98,Reg Keeland
99,E.L. James
100,Barbara Kingsolver
101,David Sedaris
102,Maurice Sendak
103,Alexandre Dumas
103,Robin Buss
104,Cormac McCarthy
105,Veronica Roth
106,Tina Fey
107,Nicholas Sparks
108,Sophie Kinsella
109,Victor Hugo
109,Lee Fahnestock
109,Norman MacAfee
110,George R.R. Martin
111,Kim Edwards
112,Jojo Moyes
113,Joseph Heller
114,Mitch Albom
114,Saulius Dagys
115,Jeffrey Eugenides
116,Mark Twain
116,Guy Cardwell
116,John Seelye
117,Madeleine L'Engle
118,Amy Tan
119,Margaret Atwood
120,Ann Brashares
121,Vladimir Nabokov
121,Craig Raine
122,Gregory Maguire
122,Douglas Smith
123,John Grisham
124,Emma Donoghue
125,William Shakespeare
125,Richard Andrews
125,Rex Gibson
126,Frank Herbert
127,Malcolm Gladwell
128,Walter Isaacson
129,Ken Kesey
130,Ernest Hemingway
131,John Steinbeck
132,Mitch Albom
133,L.M. Montgomery
134,Cassandra Clare
135,George R.R. Martin
136,Rebecca Wells
137,Diana Gabaldon
138,Nathaniel Hawthorne
138,Thomas E. Connolly
138,Nina Baym
139,Ransom Riggs
140,Stieg Larsson
140,Reg Keeland
141,Andy Weir
142,Ken Follett
143,Anthony Doerr
144,Laura Hillenbrand
145,Dan Brown
146,Donna Tartt
147,Jay Asher
148,Tracy Chevalier
149,Gayle Forman
150,Anita Diamant
151,Rick Riordan
152,Nicholas Sparks
153,Cassandra Clare
154,William Shakespeare
155,J.R.R. Tolkien
156,Emily Giffin
157,Dr. Seuss
157,לאה נאור
158,Roald Dahl
158,Quentin Blake
159,Rick Riordan
160,Charles Dickens
161,J.R.R. Tolkien
162,Albert Camus
162,Matthew    Ward
163,Rick Riordan
164,Rainbow Rowell
165,George R.R. Martin
166,Ally Condie
167,Neil Gaiman
168,Stephen King
168,Bernie Wrightson
169,Nicholas Sparks
170,Dan Brown
171,Jane Austen
171,Fiona Stafford
172,Leo Tolstoy
172,Louise Maude
172,Leo Tolstoj
172,Aylmer Maude
173,Anthony Burgess
174,William Paul Young
175,Rick Riordan
176,Stephen King
177,Fyodor Dostoyevsky
177,David McDuff
178,Sylvia Plath
179,Frank McCourt
180,Hermann Hesse
180,Hilda Rosner
181,Truman Capote
182,Kami Garcia
182,Margaret Stohl
183,Cassandra Clare
184,Roald Dahl
184,Quentin Blake
185,Erin Morgenstern
186,Philippa Gregory
187,Scott Westerfeld
188,George R.R. Martin
189,J.R.R. Tolkien
190,Cheryl Strayed
191,Alan Moore
191,Dave Gibbons
191,John Higgins
192,Patrick Rothfuss
193,Malcolm Gladwell
194,Herman Melville
194,Andrew Delbanco
194,Tom Quirk
195,Mary Ann Shaffer
195,Annie Barrows
196,Chuck Palahniuk
197,Charlaine Harris
198,Alice Walker
199,John Grogan
200,Agatha Christie
201,Dan Brown
202,Becca Fitzpatrick
203,Jamie McGuire
204,Charles Dickens
205,Anne Rice
206,Kiera Cass
207,Janet Evanovich
208,Rebecca Skloot
209,Thomas Harris
210,Richelle Mead
211,Malcolm Gladwell
212,Ian McEwan
213,Franz Kafka
213,Stanley Corngold
214,Rick Riordan
215,Ernest Cline
217,Erik Larson
217,Tony Goldwyn
218,Sylvia Day
219,C.S. Lewis
219,Pauline Baynes
220,Mark Cotta Vaz
221,Dave Pelzer
222,Robert Ludlum
223,Eoin Colfer
224,Lauren Kate
225,John Steinbeck
226,Gillian Flynn
227,John Grisham
228,Emma McLaughlin
228,Nicola Kraus
229,Lewis Carroll
229,John Tenniel
229,Martin Gardner
230,Jane Austen
230,James Kinsley
230,Deidre Shauna Lynch
231,Tatiana de Rosnay
232,Stephen King
233,Gabriel García Márquez
233,Edith Grossman
234,Laurie Halse Anderson
235,Liane Moriarty
236,Jon Krakauer
237,Stephen King
238,Augusten Burroughs
239,Max Brooks
240,Dan Brown
241,Lois Lowry
242,James Patterson
243,Stephen King
244,Gillian Flynn
245,Katherine Paterson
246,P.C. Cast
246,Kristin Cast
247,Stephen R. Covey
248,William Shakespeare
248,Barbara A. Mowat
248,Paul Werstine
248,Catherine Belsey
