book_id,rec_1,rec_2,rec_3
4,5,8,28
10,43,76,42
11,67,33,57
13,14,55,8
16,98,140,1
22,38,57,31
31,46,57,1
32,4,28,8
33,11,22,57
35,11,26,4
36,1,2,4
38,22,46,31
40,31,57,11
42,10,43,4
43,10,63,76
45,11,60,4
46,31,57,11
47,31,1,6
54,7,19,126
57,31,46,22
60,45,11,22
66,42,311,10
67,11,46,31
70,492,126,760
72,176,168,237
76,171,10,230
81,31,46,11
85,50,102,59
94,233,8,13
95,13,71,14
98,140,16,26
100,57,11,150
102,157,85,59
103,83,109,58
109,103,83,29
111,57,22,46
115,100,11,33
119,13,572,4
128,193,127,3152
131,32,225,28
132,114,784,22
136,57,118,75
138,29,58,5
140,98,16,17
142,642,440,11
143,267,61,146
148,33,150,57
150,57,100,33
171,76,230,471
177,485,498,172
179,15,11,33
198,118,4,354
212,11,115,33
216,31,46,291
219,37,189,18
225,131,32,4
231,31,396,195
233,94,323,669
238,1102,101,1856
255,287,13,903
256,40,11,31
258,1467,2833,16
262,235,438,61
268,820,212,119
273,150,825,46
287,255,903,180
306,304,326,22
323,94,233,2926
325,476,704,100
329,114,132,31
354,198,763,468
378,662,1310,11
407,697,100,2679
414,291,31,231
421,291,31,30
437,318,143,267
485,177,1041,498
492,838,1213,760
496,2047,2406,2965
498,172,177,485
642,142,440,1081
867,249,587,115
869,414,291,195
901,1011,2524,150
916,256,100,179
1011,901,2133,2524
1030,924,654,638
1041,485,177,4104
1055,2440,8973,436
1176,768,4131,3744
1180,2292,3093,2588
1187,2535,3294,3722
1310,662,378,1242
1521,824,770,154
1644,2128,407,195
1761,193,537,127
1796,6413,3638,4607
1942,5394,8515,4694
2002,1364,1041,485
2063,4722,8659,261
2133,1011,901,697
2535,3294,3722,1187
2679,407,948,2128
2738,273,407,378
2770,2098,7338,2552
3294,2535,3722,1187
3406,6496,457,5777
3638,1796,6413,4607
3889,2124,1202,9794
4614,2914,467,378
4691,2288,5527,767
4893,4292,4780,4723
5191,822,697,9205
5556,9302,6180,5478
6285,1839,238,2233
6665,7260,7214,4579
2,18,23,24
5,4,8,14
8,5,4,14
15,4,42,5
18,24,23,27
21,27,24,18
23,18,24,27
24,18,27,21
25,27,24,21
26,9,201,24
27,21,25,24
29,125,154,5
80,8,13,14
82,236,688,11
114,132,11,31
118,33,136,57
125,154,29,248
127,211,193,92
160,83,361,63
193,127,211,1344
211,127,193,92
236,82,688,1048
264,401,395,130
284,1250,8,65
301,213,130,125
303,573,5487,4518
315,247,1157,573
360,974,1620,400
573,247,303,315
630,190,290,30
664,5,178,8
790,3399,744,1855
920,9809,61,143
932,2220,247,2414
1096,1156,4155,3597
1446,1601,247,1507
1705,1926,1371,2946
2139,2166,4803,1415
2166,4953,2139,1415
2318,582,6398,8934
2686,3661,7547,2220
3122,2566,6825,1303
3305,3810,5786,990
3753,2021,3275,2101
4059,3810,5786,7873
4081,6944,1739,1843
6384,2465,6639,4356
7233,7994,2163,5449
7341,5005,9292,6548
7402,6384,7200,3235
8014,4702,2660,9275
8034,7873,5786,4059
8519,3308,4740,3603
8855,4536,1189,4260
9296,5995,6258,7998
9344,1601,2946,4744
9762,3009,582,8934
28,14,8,13
55,13,14,48
58,116,29,28
59,102,157,85
77,36,263,594
101,344,372,534
104,815,65,13
117,37,36,2
184,416,373,335
229,346,29,93
247,315,1157,680
265,57,4,31
410,301,468,354
420,622,683,552
427,95,248,154
471,451,230,171
484,951,1124,854
501,3197,4027,4253
522,2543,3566,5947
531,646,341,154
587,249,867,495
599,751,1014,1332
659,690,2425,256
660,693,640,487
715,1186,387,154
738,37,117,793
765,317,9648,2643
773,804,530,855
782,1785,178,468
815,104,1121,1319
883,1845,119,572
905,661,627,549
977,1167,5940,984
1005,1928,9579,658
1025,4861,4715,4643
1068,81,179,57
1078,1188,247,1926
1142,442,1519,3314
1283,9790,180,546
1378,9834,2295,7917
1598,1160,4444,5354
1664,1084,701,3210
1714,3311,848,4057
1928,1005,9579,4354
1929,3890,1998,448
1953,778,1320,1178
2010,734,317,9648
2190,410,1465,131
2235,1741,4240,1410
2403,1949,829,301
2615,2579,372,534
2680,4758,1333,6751
2963,5968,7977,3582
3229,4728,5041,7635
3311,1714,4057,848
3700,3948,7074,6530
4057,3311,1714,848
4090,3689,3951,7117
4290,6017,5509,7855
4686,6816,6828,4683
4715,9176,1025,5059
4788,3417,516,658
5347,4683,6828,3524
5395,5257,1845,572
5932,9691,5335,3021
6212,6684,7006,5858
6607,4359,3002,1088
6745,6629,7234,5802
7401,9714,5627,5057
8389,5294,9533,591
8452,9025,9215,1133
8492,9620,4301,6298
9014,7866,5779,7547
9049,6704,4455,2145
9215,8452,8470,1133
9533,5294,8389,9542
9790,1283,4872,3428
9962,5906,6998,7946
9966,8973,2440,8175
7,19,2,13
14,13,28,8
19,7,155,161
48,13,55,14
50,85,278,102
62,368,480,2
65,297,13,55
84,487,660,693
86,123,227,281
87,15,4,5
93,42,133,59
97,71,7,205
113,65,13,8
123,227,281,86
129,8,113,173
145,170,9,201
158,335,184,416
181,5,4,8
200,672,671,1058
221,1897,3831,15
222,588,288,1963
230,171,76,451
243,176,305,237
245,577,386,59
249,587,60,867
288,628,222,785
297,405,65,1074
321,59,245,386
326,304,306,22
335,184,158,373
337,54,13,1223
344,372,101,534
350,2703,173,1570
373,416,184,335
381,136,847,326
383,2379,238,81
387,715,138,154
388,6755,77,5455
398,508,550,92
401,264,395,130
426,65,516,405
436,45,2284,657
468,354,138,763
476,325,704,2089
489,606,180,3172
495,101,3092,1238
497,639,1772,93
508,398,101,92
540,93,133,42
575,640,693,660
596,833,343,227
640,575,1296,660
661,905,549,627
693,660,487,575
704,476,2089,325
705,553,675,578
879,131,32,28
903,4298,287,255
964,2101,189,161
1037,1057,963,833
1057,1037,1245,963
1117,693,660,84
1210,1112,2821,3138
1237,311,6050,3136
1258,1662,2123,416
1265,490,2451,828
1296,640,1677,1592
1301,1733,1388,1407
1311,5095,5220,7454
1380,1464,490,191
1435,1202,515,311
1573,1407,2573,1057
1733,1407,1388,1245
2172,2552,2098,1074
3237,4455,6704,198
3273,2815,1573,2573
3469,5563,4383,2873
8464,8186,6050,6261
6,12,74,88
112,61,235,262
139,884,1948,6
164,6,991,88
253,695,1065,342
277,167,322,312
305,556,176,237
431,209,1802,4422
441,609,703,1360
451,471,230,171
458,143,141,61
473,1325,1911,2207
623,1490,1347,2422
626,627,364,454
695,1065,253,61
794,623,1347,1182
887,2314,3388,959
1009,146,320,551
1145,1567,885,847
1182,794,1347,623
1195,146,143,697
1325,1911,473,2207
1328,61,143,146
1339,1123,1208,2155
1345,7487,811,3312
1347,623,1490,3756
1485,4551,9452,8529
1563,3043,9335,1736
1723,1275,1026,864
1742,4476,1493,245
1744,3380,2602,1882
1770,1403,1427,794
1795,1288,1339,705
1882,3380,4247,2602
1911,1325,2207,473
1941,2914,146,458
2207,1911,2888,1325
2396,445,811,2251
2431,5043,5240,3380
2592,5518,975,5225
2602,3380,1744,1882
2637,1954,2199,458
2813,811,926,61
2888,2207,4111,1911
3037,2993,5569,2365
3267,7591,1941,458
3378,4305,2614,1962
3380,2602,1744,1882
3429,9422,9477,1508
3559,7901,352,1044
3744,5167,8143,6510
4131,8143,5167,6510
4187,5570,5577,1132
4247,5289,3380,1882
4305,3378,2614,6260
4335,404,2251,3102
4344,8548,8606,7029
4380,5408,4546,5117
4539,7280,1901,1946
4546,5408,5117,4380
4786,1563,3043,9541
4897,5791,6774,2803
4942,3472,6863,3808
4947,2864,5400,5056
4997,3408,2126,2614
5117,4546,5408,4380
5143,5253,6645,3376
5167,8143,6510,3744
5289,4247,5043,4212
5766,5688,8143,6826
5791,6774,4897,7435
6014,6182,7410,7785
6151,5771,5359,4794
6344,5799,4846,4616
6404,8478,7335,9156
6510,8143,5167,3744
6774,5791,7435,4897
7141,1866,939,262
7474,5117,5408,4546
7487,7474,1345,5408
7591,3267,5954,4001
7601,8884,3745,4380
7891,7853,8478,4847
8072,8368,2722,1059
8143,5167,6510,4131
8258,7474,5408,4546
8884,7601,3745,5408
185,30,1,47
190,30,61,143
208,144,291,31
217,771,16,46
285,1442,112,235
316,1460,1976,2321
328,331,908,1101
374,1710,316,1460
380,430,520,1270
385,537,193,211
408,1969,92,663
430,520,380,1270
439,1224,1235,3696
453,733,919,100
490,1265,828,191
520,430,380,1500
550,1060,2357,398
604,2229,178,238
658,654,115,516
688,236,82,217
710,1441,40,261
749,979,1899,791
758,2661,3933,2841
850,320,146,678
860,2188,1752,1144
881,7923,2421,7910
895,6168,495,115
900,474,4120,2503
979,749,1499,262
1102,1856,2233,238
1212,146,551,673
1269,9217,487,84
1307,931,2739,352
1449,2279,2321,1976
1494,8845,372,101
1710,374,1976,1460
1752,2188,860,1144
1851,208,4740,3308
1859,5496,2621,5215
1976,2321,1449,2279
2188,1752,860,1144
2247,895,178,238
2279,2321,1449,1976
2290,587,249,1060
2321,2279,1449,1976
2357,550,1060,408
2621,5215,7059,4660
2633,2433,2991,1685
2661,3933,758,2841
2698,8079,5244,4336
3545,2841,2661,758
3928,5670,8033,6160
3933,2661,758,2841
4050,9688,3707,4850
4079,1449,9295,2279
4080,2279,1976,193
4660,2621,5215,7059
4706,1577,3961,6990
5215,7059,2621,4660
5369,7151,1973,7998
5670,8033,7998,3928
5723,1601,4493,7500
5995,5008,1303,9296
6351,8789,8537,7770
6825,4395,2912,4462
7059,5215,2621,4660
7279,2421,881,7923
8033,5670,7998,3928
8235,7478,5215,2621
8329,8537,8957,4722
9295,2321,4079,2279
9688,4050,8296,6825
37,2,7,292
79,341,29,58
83,160,58,29
89,19,7,2
116,58,293,4
126,54,1105,70
154,125,248,29
167,322,666,283
192,307,389,562
194,79,83,58
205,696,898,1382
283,167,322,429
307,192,562,389
322,167,666,377
377,322,167,666
400,442,3006,3884
405,297,65,1074
416,373,184,335
442,1519,1142,400
481,1071,1536,1638
510,528,722,330
516,1873,115,658
534,372,344,101
562,862,389,603
585,720,893,835
593,1629,1591,5661
612,725,806,936
633,1179,371,914
696,898,1533,1633
725,612,806,936
729,1484,3247,3246
760,1646,2312,838
770,154,353,714
806,725,936,1053
838,1213,492,1646
910,2189,3013,914
936,1053,806,953
949,1023,1119,1249
953,1053,936,806
956,6011,6046,7517
1023,949,1119,1249
1053,936,953,806
1071,1536,1638,1989
1074,1704,1676,2098
1105,1262,2045,2491
1119,1249,1023,949
1168,6390,1099,546
1199,3672,4574,4507
1223,1687,276,890
1262,1105,2045,2491
1278,1525,1362,1249
1337,2470,2881,1342
1362,1249,1525,1119
1464,1380,828,1370
1484,729,3247,3246
1519,442,1142,2084
1525,1362,1249,1278
1536,1638,1989,1759
1592,1296,640,575
1620,1800,360,5326
1641,1980,3127,637
1642,2508,763,354
1646,2312,2564,760
1801,3182,1918,4101
1873,516,8654,7664
1918,3182,1801,4101
1923,943,344,372
1969,408,5765,2253
1991,2325,3632,6709
2045,1262,2491,2817
2084,1142,3314,2500
2102,2969,442,400
2129,2766,1315,5019
2189,3013,910,5838
2241,6252,6150,442
2325,3632,1991,5666
2347,2604,1217,1533
2470,2718,2677,3000
2487,5047,2969,6353
2491,2817,2045,1262
2564,2312,1646,1213
2693,4726,7814,729
2766,2129,1315,5019
2782,7377,8117,9626
2931,503,276,55
2969,5506,2487,5047
3111,5714,7766,7128
3137,4459,4101,4608
3246,3247,1484,729
3247,3246,1484,729
3314,5306,5707,1142
3672,4574,5173,5586
3711,2102,2711,1745
3797,5343,5739,1117
3884,3006,5630,3573
4101,4459,4608,3182
4138,6701,7490,8413
4190,8275,9103,3182
4459,4101,4608,3137
4574,5173,5586,3672
4588,4608,4101,3137
4608,4459,4101,3182
4726,2693,7814,7149
4885,6968,7469,8432
4944,9911,9216,8491
4964,6828,4683,5347
5047,2487,2969,6353
5332,8432,3247,3246
5341,3489,8425,6558
5388,8944,8413,4138
6152,9538,8294,1816
6444,7217,7807,8321
6445,8097,9578,1950
6701,7490,8413,4138
7003,5306,3314,5707
7128,7766,5714,3111
7217,7807,6444,8321
7325,7788,7095,481
7377,9626,8117,8880
7490,8413,6701,4138
7807,7217,8321,9092
7814,4726,2693,6798
7904,6318,5141,6123
8320,6353,5047,2487
8413,7490,6701,4138
8432,5332,3247,3246
8654,7664,1873,4139
9103,8275,4190,4608
63,43,10,76
71,97,29,13
362,493,1106,3061
390,71,97,95
479,772,403,3552
493,362,1106,3061
529,478,293,116
546,180,3049,1099
547,298,972,503
560,172,177,559
576,213,479,301
592,4015,177,2177
614,4622,213,872
650,138,116,529
651,97,778,109
701,1084,941,1664
769,446,618,514
772,479,3949,3552
778,109,1953,478
788,6234,499,350
899,1509,829,1949
1084,701,1664,959
1214,959,1135,301
1364,1041,485,177
1432,479,772,3717
1509,899,1783,1949
1679,819,1492,2466
1739,6944,476,919
1797,3581,6154,1312
1937,3795,5229,1106
1967,479,7845,772
2187,4015,5009,592
2466,5716,6736,3535
2490,2158,2168,1717
2584,6727,4004,9642
2732,772,479,1432
2781,3061,2957,1106
2926,3913,8456,4531
3020,6155,614,213
3349,87,1265,15
3377,1041,8792,4104
3676,3763,5404,6633
3954,4672,4526,614
4503,7416,1073,3642
4592,1434,138,650
4602,323,7032,3457
4622,614,6195,2024
5425,1518,8565,8923
6195,4622,3482,614
6326,1084,3210,701
6727,9642,2584,4004
7309,4348,4939,8503
7416,4503,3642,1214
8312,3061,6575,2794
8565,7668,5437,5378
9114,4592,97,138
9991,8470,2612,6180
1,17,20,2
3,49,52,56
9,26,145,170
17,20,1,25
20,17,1,12
30,61,226,244
49,52,56,3
52,49,56,3
56,52,49,3
75,78,228,136
78,228,75,108
108,308,955,411
122,2,2028,1
178,8,5,4
186,33,700,46
191,365,568,735
213,614,301,130
227,281,343,123
239,1056,70,39
317,198,15,763
338,38,30,31
372,344,534,101
397,424,95,323
467,1281,638,516
483,709,2339,8
494,146,3219,115
570,795,2193,1421
572,1405,2570,119
629,1206,708,1835
689,320,146,143
766,1895,1572,2353
795,570,2193,1421
941,701,115,212
943,372,344,1923
955,1063,1436,952
959,1135,1214,301
963,1245,833,1037
982,6496,538,5777
1031,264,401,395
1063,955,1436,952
1083,22,3550,383
1136,291,638,467
1221,310,465,1107
1231,421,291,414
1388,1733,1407,1301
1407,1733,1245,1388
1441,710,3546,3646
1457,75,9513,2793
1615,2650,128,677
1843,2630,4081,228
1955,2703,8167,350
1986,2607,1733,1407
2013,3141,2029,3412
2193,1421,795,570
3400,3106,5678,4983
3417,4788,516,658
3425,4139,516,1873
4139,3425,1873,7664
4394,574,3646,5274
4755,522,146,94
4815,2215,3871,999
5908,7769,1393,9323
6777,5385,306,3856
7285,6105,1220,2496
7868,281,86,343
8676,3296,6191,467
141,215,61,458
146,143,61,30
155,161,19,7
161,155,19,7
172,498,177,63
199,64,31,46
298,547,1204,972
357,32,395,13
391,364,358,157
396,195,231,291
551,2848,146,143
638,654,467,924
653,7842,7651,4711
654,658,638,924
697,291,407,906
807,4020,146,458
822,146,924,638
924,654,638,1030
973,9718,40,31
1158,1581,3091,2411
1238,495,3092,1557
1242,673,146,359
1256,291,143,144
1405,2570,572,119
1462,146,143,1195
1467,2833,258,5022
1481,38,31,46
1506,708,1206,2902
1845,3837,883,2561
