user_id,rec_1,rec_2,rec_3
1,5,8,1
2,4,13,14
3,5,8,14
4,1,15,29
5,61,30,226
6,4,11,8
7,7,70,54
8,8,32,58
9,4,8,31
10,8,1,2
11,5,22,60
12,33,1,42
13,46,57,4
14,2,7,65
15,1,23,28
16,13,5,4
17,1407,9,1301
18,28,32,2
19,13,32,55
20,2737,3223,2277
21,25,4,5
22,7,39,72
23,30,143,262
24,22,46,57
25,5,28,32
26,5,4,28
27,16,20,4
28,16,2,33
29,7,5,13
30,4,7,10
31,4,7,25
32,4,11,15
33,30,267,1028
34,7,54,19
35,4,5,10
36,2,8,7
37,30,61,2
38,13,5,8
39,7,2,13
40,31,22,17
41,3,12,2
42,13,5,28
43,5,16,13
44,1,11,5
45,2,23,27
46,7635,6314,9400
47,30,61,1
48,13,14,177
49,11,115,60
50,13,7,4
51,7,39,13
52,14,28,32
53,5,4,29
54,4,2,5
55,14,32,45
56,112,47,267
57,2,4,30
58,23,28,32
59,4,11,28
60,4,5,2
61,4,31,22
62,32,10,65
63,14,8,5
64,3965,2639,2596
65,4,19,37
66,14,13,8
67,20,46,47
68,5,4,28
69,13,14,28
70,13,8,4
71,8,5,13
72,11,31,5
73,14,7,29
74,26,4,9
75,4,5,33
76,4,5,7
77,8,13,14
78,8,5,65
79,28,2,32
80,28,55,323
81,13,8,5
82,13,5,14
83,7,10,1
84,4,11,5
85,32,7,1
86,13,4,28
87,1680,7549,4308
88,5,13,1
89,13,14,23
90,4,5,28
91,13,8,5
92,54,7,13
93,1,13,4
94,4,5,14
95,4,2,8
96,2,4,50
97,4,1,5
98,7,4,2
99,30,267,112
100,8,13,5
101,33,22,38
102,30,143,1
103,143,146,4
104,2,17,20
105,2,18,24
106,7,4,13
107,30,235,262
108,4,5,33
109,13,14,32
110,23,8,5
111,39,70,19
112,4,5,13
113,2802,3990,4425
114,5,32,55
115,14,15,43
116,13,14,8
117,23,21,5
118,61,4,31
119,6,112,21
120,55,8,14
121,30,146,1
122,5,4,13
123,31,1,33
124,7,5,23
125,5,13,14
126,13,8,5
127,5,1,46
128,16,46,11
129,4,5,8
130,4,10,14
131,4,18,8
132,4,8,14
133,5,2,1
134,5,31,16
135,19,65,4
136,13,65,28
137,25,19,1
138,521,3280,2497
139,5,8,4
140,4,65,32
141,4,5,13
142,14,28,32
143,30,4,33
144,13,28,11
145,5,8,32
146,5,8,115
147,2,4,18
148,30,146,267
149,7,2,55
150,7,14,5
151,14,2,7
152,1200,1049,1
153,1,30,12
154,14,7,55
155,4,5,8
156,1,13,14
157,13,5,8
158,2,675,670
159,4,14,21
160,5,2,10
161,16,4,2
162,4,31,15
163,4,8,37
164,4,16,31
165,2,7,13
166,41,1,2
167,13,5,4
168,7,13,4
169,13,32,15
170,115,11,30
171,13,14,5
172,39,70,1
173,5,11,8
174,31,57,46
175,4,8,11
176,7,28,19
177,31,5,22
178,4,5,8
179,4,5,2
180,13,14,32
181,4,5,8
182,1,31,22
183,4,5,8
184,4,14,13
185,4,5,32
186,4,5,31
187,1,10,23
188,4,7,59
189,28,13,5
190,32,19,48
191,5,7,23
192,1,4,38
193,2,18,24
194,5,55,28
195,11,4,16
196,4,11,28
197,13,4,28
198,54,61,13
199,1,2,5
200,4,1,2
201,14,55,54
202,1,10,17
203,4,31,1821
204,13,55,48
205,10,11,55
206,4,5,8
207,2,28,8
208,20,2,69
209,25,19,55
210,13,14,4
211,30,31,6
212,13,154,19
213,267,16,190
214,55,113,58
215,4,2,8
216,31,16,235
217,13,14,7
218,4,8,14
219,13,28,32
220,13,54,14
221,1,4,7
222,4,5,2
223,22,31,1
224,5,8,14
225,1,2,36
226,13,8,5
227,61,141,30
228,13,19,37
229,46,4,5
230,22,47,8
231,11,31,57
232,4,55,32
233,13,2,11
234,2,18,24
235,30,4,1
236,143,31,61
237,1,31,28
238,13,130,94
239,4,5,2
240,31,11,33
241,31,61,46
242,4,8,13
243,32,55,29
244,13,7,19
245,5,1,8
246,13,19,14
247,14,10,15
248,11,1,33
249,13,5,4
250,11,46,33
251,11,37,43
252,4,5,190
253,14,7,1
254,13,5,4
255,13,28,11
256,16,28,32
257,5,4,28
258,31,16,100
259,1,5,10
260,4,5,28
261,2,13,28
262,31,46,11
263,5,2,15
264,4,5,14
265,5,2,64
266,262,267,112
267,30,313,31
268,30,46,1
269,5,8,13
270,2,7,1
271,46,38,28
272,4,5,8
273,12,252,423
274,28,2,29
275,5,60,16
276,5,28,14
277,1,17,20
278,5,15,7
279,5,13,19
280,4,11,33
281,1606,1267,1232
282,15,45,32
283,5,15,10
284,4590,4358,2639
285,2,14,4
286,553,176,305
287,2881,3654,5099
288,30,31,4
289,722,19,960
290,2,18,1
291,7,2,13
292,46,22,30
293,5,10,8
294,11,4,17
295,4,2,5
296,28,8,32
297,13,4,14
298,13,14,65
299,5,4,28
300,4,10,28
301,2501,2271,2109
