title,sinopsis,isbn
"The Hunger Games (The Hunger Games, #1)",,0439023483
"Harry Potter and the Sorcerer''s Stone (Harry Potter, #1)",,0439554934
To Kill a Mockingbird,"One of the best-loved stories of all time, To Kill a Mockingbird has been translated into more than 40 languages, sold more than 30 million copies worldwide, served as the basis for an enormously popular motion picture, and voted one of the best novels of the 20th century by librarians across the United States. A gripping, heart-wrenching, and wholly remarkable tale of coming-of-age in a South poisoned by virulent prejudice, it views a world of great beauty and savage inequities through the eyes of a young girl, as her father -- a crusading local lawyer -- risks everything to defend a black man unjustly accused of a terrible crime. Lawyer Atticus Finch defends Tom Robinson -- a black man charged with the rape of a white girl. Writing through the young eyes of Finch's children Scout and Jem, Harper Lee explores with rich humor and unswerving honesty the irrationality of adult attitudes toward race and class in small-town Alabama during the mid-1930s Depression years. The conscience of a town steeped in prejudice, violence, and hypocrisy is pricked by the stamina and quiet heroism of one man's struggle for justice. But the weight of history will only tolerate so much. ---------- Also contained in: - [Best Sellers from Reader's Digest Condensed Books](https://openlibrary.org/works/OL16035425W)",0061120081
"Twilight (Twilight, #1)",,0316015849
The Great Gatsby,"Here is a novel, glamorous, ironical, compassionate – a marvelous fusion into unity of the curious incongruities of the life of the period – which reveals a hero like no other – one who could live at no other time and in no other place. But he will live as a character, we surmise, as long as the memory of any reader lasts. ""There was something gorgeous about him, some heightened sensitivity to the promises of life.... It was an extraordinary gift for hope, a romantic readiness such as I have never found in any other person and which it is not likely I shall ever find again."" It is the story of this Jay Gatsby who came so mysteriously to West Egg, of his sumptuous entertainments, and of his love for Daisy Buchanan – a story that ranges from pure lyrical beauty to sheer brutal realism, and is infused with a sense of the strangeness of human circumstance in a heedless universe. It is a magical, living book, blended of irony, romance, and mysticism. --first edition jacket ---------- Also contained in: - [The Fitzgerald Reader](https://openlibrary.org/works/OL468551W/The_Fitzgerald_Reader) - [Three Novels of F. Scott Fitzgerald ](https://openlibrary.org/works/OL468557W)",0743273567
"Catching Fire (The Hunger Games, #2)",,0439023491
"Mockingjay (The Hunger Games, #3)",,0439023513
"Harry Potter and the Prisoner of Azkaban (Harry Potter, #3)",,043965548X
"Harry Potter and the Chamber of Secrets (Harry Potter, #2)",,0439064864
The Hobbit,"The Hobbit is a tale of high adventure, undertaken by a company of dwarves in search of dragon-guarded gold. A reluctant partner in this perilous quest is Bilbo Baggins, a comfort-loving unambitious hobbit, who surprises even himself by his resourcefulness and skill as a burglar. Encounters with trolls, goblins, dwarves, elves, and giant spiders, conversations with the dragon, Smaug, and a rather unwilling presence at the Battle of Five Armies are just some of the adventures that befall Bilbo. Bilbo Baggins has taken his place among the ranks of the immortals of children’s fiction. Written by Professor Tolkien for his children, The Hobbit met with instant critical acclaim when published.",0618260307
"Harry Potter and the Goblet of Fire (Harry Potter, #4)",,0439139600
"Harry Potter and the Deathly Hallows (Harry Potter, #7)",,0545010225
"Harry Potter and the Order of the Phoenix (Harry Potter, #5)",,0439358078
