book_id,votos,nota_media
1,22806,4.3
2,21850,4.4
3,16931,3.2
4,19088,4.3
5,16604,3.8
6,11264,4.2
7,15558,4.1
8,14472,3.7
9,13451,3.6
10,13445,4.2
11,12698,4.2
12,11780,4.0
13,14693,4.0
14,14328,3.8
15,12101,4.1
16,14382,4.0
17,16549,4.1
18,15855,4.4
19,12530,4.3
20,15953,3.9
21,15258,4.4
22,11677,3.6
23,15657,4.2
24,15523,4.4
25,15304,4.5
26,13072,3.6
27,15081,4.4
28,13556,3.7
29,11578,3.7
30,12105,3.9
31,12727,4.4
32,11921,3.8
33,11304,4.0
34,7724,3.1
35,8916,3.6
36,10949,4.1
37,13089,4.1
38,9977,3.9
39,10692,4.3
40,7885,3.3
41,7606,4.0
42,10649,4.0
43,10308,4.0
44,6717,3.7
45,10175,3.8
46,10361,4.0
47,10394,4.3
48,10312,3.9
49,9712,3.2
50,8297,4.3
51,6504,3.8
52,9620,3.4
53,7040,3.6
54,9960,4.1
55,9612,3.9
56,9433,3.4
57,8383,3.9
58,9323,3.8
59,9391,4.1
60,9035,3.8
61,9090,3.7
62,8192,3.9
63,9584,3.7
64,7192,3.8
65,8179,4.0
66,7714,4.2
67,7662,4.2
68,5990,4.0
69,8263,3.9
70,8849,4.3
71,7727,3.7
72,6861,4.1
73,6313,3.6
74,4682,3.9
75,6229,3.6
76,7110,4.0
77,6039,3.9
78,4723,3.5
79,6301,3.7
80,6848,4.2
81,5847,4.1
82,4921,3.8
83,6592,3.8
84,6601,3.9
85,7002,4.3
86,5844,3.9
87,6466,4.3
88,4247,3.7
89,6102,4.3
90,6190,4.0
91,5014,3.8
92,4658,3.9
93,7626,4.1
94,5492,3.9
95,6406,3.9
96,4185,3.4
97,6615,3.9
98,7563,4.1
99,4452,3.4
100,6343,4.0
101,5199,4.0
102,6401,4.3
103,5489,4.2
104,6779,3.9
105,6300,3.4
107,3760,3.8
108,3792,3.4
109,4750,4.1
110,6854,4.3
111,5257,3.5
112,5897,4.2
113,6944,3.9
114,5467,3.8
115,5615,4.0
116,7214,3.9
117,8109,4.0
118,6212,3.9
119,7543,4.0
120,4180,3.6
122,6598,3.4
123,6135,3.8
124,5554,3.9
125,6899,4.0
126,5864,4.1
127,3709,3.8
128,1731,4.1
129,6307,4.1
130,6273,3.6
131,7458,3.9
132,5495,3.7
133,6536,4.2
134,4451,4.1
135,6237,4.4
136,5326,3.7
137,5297,4.1
138,7667,3.3
139,4868,3.6
140,6702,4.1
141,5408,4.3
142,5672,4.2
143,6082,4.3
144,4577,4.4
145,4405,3.4
146,5275,3.9
147,3186,3.9
148,5171,3.8
149,3512,3.8
150,5358,4.0
151,4056,4.0
152,2746,3.7
153,4415,4.0
154,6421,3.9
155,6478,4.3
156,2877,3.6
157,5249,4.2
158,6034,4.0
159,4021,4.2
160,6305,3.7
161,6331,4.4
163,3128,4.2
164,3756,4.1
165,5705,4.0
166,3538,3.5
167,5681,4.0
168,5973,4.3
169,2471,3.9
170,4041,3.3
171,5602,3.9
172,5073,3.9
173,5076,3.8
174,3559,3.4
175,3881,4.3
176,4853,4.0
177,4679,4.0
178,5178,3.8
179,5302,4.0
180,4610,3.9
181,4467,4.1
182,3067,3.5
183,3366,4.2
184,4810,4.2
185,5154,3.9
186,4759,3.9
187,3600,3.7
189,5316,4.4
190,3998,3.8
191,3825,4.3
192,3948,4.5
193,3428,4.0
194,4034,3.4
195,4904,4.1
196,3917,4.1
197,4409,3.8
198,5531,4.1
199,3412,4.0
200,4011,4.1
201,4213,3.4
202,2601,3.7
204,5006,4.0
205,5764,3.9
206,2903,3.9
207,3365,3.9
208,3777,4.0
209,3480,4.2
210,3125,4.0
211,3371,3.8
212,5052,3.8
213,4463,3.7
214,3717,4.1
215,4239,4.2
216,3889,4.1
217,4606,3.9
218,2048,3.9
219,5306,4.1
221,2834,3.8
222,3091,4.0
223,3851,3.7
224,2541,3.5
225,4576,4.3
226,3950,3.8
227,4260,3.8
228,3331,3.2
229,4722,4.0
230,4274,4.0
231,3995,4.0
232,4229,3.9
233,4459,3.8
234,2854,3.9
235,4003,3.8
236,3479,4.1
237,4118,3.8
238,3724,3.5
239,3720,3.9
240,3608,3.5
241,3646,4.0
242,2985,3.9
243,4199,3.9
244,3549,3.7
245,4295,3.9
246,2583,3.6
247,2073,3.8
248,4898,3.9
249,3519,3.8
250,2648,4.4
251,3871,4.1
252,2734,4.0
253,3413,3.8
254,2411,3.5
255,4227,3.5
256,3284,3.6
257,3298,4.0
258,3531,4.1
259,3031,3.7
261,2545,3.6
262,3705,4.1
263,3177,3.9
264,4161,3.7
265,4460,4.2
266,2644,3.9
267,3666,4.5
268,3837,3.7
269,1782,3.8
270,4220,4.1
271,4810,4.0
272,3314,3.9
273,3346,4.0
274,2772,4.3
275,2357,3.6
276,3026,4.1
277,4015,3.9
278,3916,4.3
279,3230,3.7
280,2549,3.8
281,4067,3.8
282,3132,3.9
283,3532,4.2
284,3596,3.5
285,3244,4.0
286,1834,3.8
287,3656,3.6
288,2689,4.0
289,4753,4.0
290,2606,3.7
291,3575,4.2
292,4080,4.0
293,3959,3.8
294,2437,4.3
295,3737,4.2
296,3057,4.3
297,3532,4.1
298,3659,3.8
299,1643,3.7
300,2694,4.0
301,4377,3.4
302,1734,3.9
303,1665,3.2
304,3312,4.0
305,3748,3.7
306,3850,3.7
307,3026,4.5
308,2065,3.6
309,3140,3.9
310,2307,3.6
311,3721,4.1
312,3401,4.1
313,3363,3.9
314,2919,3.8
315,1826,3.4
316,3029,4.0
317,3067,4.0
318,3378,4.0
319,2744,4.1
320,3403,3.9
321,4000,4.0
322,3612,4.1
323,3120,3.9
325,3868,4.1
326,3449,3.8
327,2225,4.0
328,2654,3.9
329,2488,4.2
330,2924,4.0
331,2489,3.8
332,3461,3.9
333,2836,4.2
334,1529,4.1
335,4017,3.9
336,2019,3.8
337,3270,4.3
338,2192,3.6
339,3507,4.2
340,2265,3.8
341,3715,3.7
342,2863,3.2
343,3168,3.8
344,2744,4.0
345,2963,3.8
346,3275,3.9
347,3353,3.9
349,3387,3.9
350,2712,3.9
351,2380,4.3
352,2378,3.6
353,3414,3.9
354,3842,3.6
355,2588,4.0
356,3092,3.7
357,3273,3.8
358,3321,4.3
